City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hutchinson,38.0608,-97.9298,298.05,67,1,0.45,US,1635012141
1,Hermanus,-34.4187,19.2345,287.54,70,62,3.64,ZA,1635012161
2,Honiara,-9.4333,159.95,297.81,83,21,1.48,SB,1635012163
3,Punta Arenas,-53.15,-70.9167,278.77,81,69,12.92,CL,1635012103
4,Rimbey,52.6334,-114.2353,278.06,97,100,2.02,CA,1635012164
5,Vaini,-21.2,-175.2,294.93,72,87,9.05,TO,1635012105
6,Yulara,-25.2406,130.9889,290.94,38,0,7.95,AU,1635012164
7,Upernavik,72.7868,-56.1549,266.19,80,79,2.66,GL,1635012165
8,Filingué,14.3521,3.3168,307.24,34,57,4.09,NE,1635012165
9,Saint Paul Harbor,57.79,-152.4072,279.88,76,90,5.66,US,1635012165
10,Kirsanov,52.6549,42.7224,282.77,66,93,5.14,RU,1635012165
11,Busselton,-33.65,115.3333,284.87,82,30,2.8,AU,1635012166
12,Harper,4.375,-7.7169,298.83,87,79,3.51,LR,1635012166
13,Macklin,52.3334,-109.9348,277.76,57,100,8.69,CA,1635012166
14,Baisha,26.5222,110.9311,284.98,89,73,0.79,CN,1635012167
15,George Town,5.4112,100.3354,300.31,88,40,3.13,MY,1635011906
16,Narsaq,60.9167,-46.05,276.27,78,90,1.54,GL,1635012167
17,Port Elizabeth,-33.918,25.5701,289.32,68,2,9.55,ZA,1635012015
18,Coyhaique,-45.5752,-72.0662,283.7,41,14,7.62,CL,1635012167
19,San Quintín,30.4833,-115.95,293.32,67,22,7.32,MX,1635012168
20,Ushuaia,-54.8,-68.3,276.96,81,75,6.17,AR,1635011875
21,Mataura,-46.1927,168.8643,282.79,97,100,0.44,NZ,1635012168
22,Bluff,-46.6,168.3333,284.32,89,100,1.78,NZ,1635012068
23,Mayor Pablo Lagerenza,-19.9309,-60.7718,315.87,20,1,9.85,PY,1635012168
24,Port Alfred,-33.5906,26.891,289.37,70,27,13.09,ZA,1635012169
25,Buala,-8.145,159.5921,299.39,76,26,2.12,SB,1635012169
26,Rikitea,-23.1203,-134.9692,296.88,82,72,8.69,PF,1635011891
27,Hobart,-42.8794,147.3294,284.27,93,90,0.89,AU,1635011885
28,Couëron,47.2151,-1.7217,284.12,73,0,2.57,FR,1635012170
29,Jiangyou,31.7667,104.7167,286.82,82,100,1.36,CN,1635012170
30,Avarua,-21.2078,-159.775,295.18,60,20,3.6,CK,1635012091
31,Palora,-1.7,-77.9333,298.77,76,70,1.12,EC,1635012170
32,Bonthe,7.5264,-12.505,300.16,79,55,3.78,SL,1635012171
33,Kapaa,22.0752,-159.319,299.14,90,20,0.45,US,1635012171
34,Felanitx,39.4696,3.1483,290.9,55,65,5.14,ES,1635012171
35,Port Lincoln,-34.7333,135.8667,284.93,78,4,4.48,AU,1635012014
36,Cabadiangan,9.7531,122.4739,297.52,90,99,2.3,PH,1635012172
37,Puerto Ayora,-0.7393,-90.3518,295.49,78,91,4.5,EC,1635012172
38,Nikolskoye,59.7035,30.7861,276.09,86,100,4.22,RU,1635012172
39,Ponta do Sol,32.6667,-17.1,295.77,65,26,1.61,PT,1635012172
40,Ahipara,-35.1667,173.1667,289.37,98,99,1.06,NZ,1635012173
41,Provideniya,64.3833,-173.3,267.9,78,100,3.92,RU,1635012173
42,Geraldton,-28.7667,114.6,286.38,94,0,2.57,AU,1635012173
43,Kuril'sk,45.2333,147.8833,280.08,66,65,6.11,RU,1635012174
44,Kattivākkam,13.2167,80.3167,302.2,78,79,3.12,IN,1635012174
45,Yellowknife,62.456,-114.3525,278.94,81,95,8.49,CA,1635012014
46,Atuona,-9.8,-139.0333,298.74,77,18,8.08,PF,1635011898
47,Korsakov,46.6328,142.7813,278.13,81,5,2.37,RU,1635012175
48,Cape Town,-33.9258,18.4232,289.87,64,55,0.89,ZA,1635012068
49,Maraã,-1.8333,-65.3667,305.2,56,33,0.86,BR,1635012175
50,Mahébourg,-20.4081,57.7,297.18,80,9,5.09,MU,1635012175
51,Kharhiāl,20.2833,82.7667,293.36,69,2,0.74,IN,1635012176
52,Pevek,69.7008,170.3133,262.09,94,100,3.53,RU,1635011915
53,Waipawa,-41.4122,175.5153,285.5,79,91,1.56,NZ,1635012176
54,Cascais,38.6979,-9.4215,295.79,52,0,3.09,PT,1635011920
55,Saint-Philippe,-21.3585,55.7679,296.92,81,81,5.56,RE,1635012177
56,Acapulco de Juárez,16.8634,-99.8901,298.14,92,100,5.68,MX,1635012049
57,Faanui,-16.4833,-151.75,298.69,73,97,1.26,PF,1635012177
58,Mar del Plata,-38.0023,-57.5575,287.52,86,80,4.02,AR,1635012007
59,Bredasdorp,-34.5322,20.0403,287.77,72,68,4.63,ZA,1635011901
60,Sungai Penuh,-2.0833,101.3833,291.45,95,89,0.71,ID,1635012177
61,San Cristobal,7.7669,-72.225,300.44,58,83,2.29,VE,1635012178
62,Ronneby,56.21,15.276,276.43,93,0,1.03,SE,1635012178
63,Wilmington,34.2257,-77.9447,298.71,65,16,1.34,US,1635011885
64,San Fernando,15.0286,120.6898,299.8,91,100,3.54,PH,1635012179
65,Atasū,48.6814,71.6433,278.74,50,7,6.0,KZ,1635012179
66,Benidorm,38.5382,-0.131,293.03,72,27,3.05,ES,1635012179
67,Kasongo-Lunda,-6.4667,16.8167,296.67,86,58,1.29,CD,1635012180
68,Port Hardy,50.6996,-127.4199,282.31,84,85,2.52,CA,1635012180
69,Albany,42.6001,-73.9662,285.75,58,63,0.45,US,1635012180
70,Olafsvik,64.8945,-23.7142,280.42,92,100,5.89,IS,1635012181
71,Laas,46.6166,10.7002,280.94,61,4,0.55,IT,1635012181
72,Gatton,-27.55,152.2833,293.9,68,99,2.81,AU,1635012182
73,Hirara,24.8,125.2833,297.71,62,93,6.89,JP,1635012182
74,Klaksvík,62.2266,-6.589,283.66,95,100,11.63,FO,1635012183
75,Guerrero Negro,27.9769,-114.0611,294.77,63,4,7.29,MX,1635012184
76,Zhigansk,66.7697,123.3711,267.56,95,100,8.18,RU,1635012184
77,Dingle,10.9995,122.6711,297.06,94,100,2.42,PH,1635012184
78,Leshukonskoye,64.8989,45.7622,268.14,93,31,2.07,RU,1635012185
79,Barrow,71.2906,-156.7887,270.41,91,100,7.38,US,1635011969
80,Hearst,49.6835,-83.6665,275.0,97,100,3.59,CA,1635012118
81,Butaritari,3.0707,172.7902,300.55,71,78,3.65,KI,1635011903
82,Thinadhoo,0.5333,72.9333,301.83,67,55,5.84,MV,1635012185
83,Ryl'sk,51.5655,34.6822,277.71,71,23,4.33,RU,1635012186
84,Kudahuvadhoo,2.6708,72.8944,301.4,72,22,6.42,MV,1635012186
85,Pisco,-13.7,-76.2167,293.16,76,8,3.43,PE,1635012186
86,Broome,42.2506,-75.833,283.5,75,90,0.45,US,1635012187
87,Portland,45.5234,-122.6762,285.14,94,100,0.89,US,1635011937
88,Alofi,-19.0595,-169.9187,296.78,65,32,8.67,NU,1635012187
89,Port Blair,11.6667,92.75,300.05,78,90,0.82,IN,1635012187
90,Beringovskiy,63.05,179.3167,261.38,77,25,4.64,RU,1635012188
91,Tasiilaq,65.6145,-37.6368,274.24,84,100,2.34,GL,1635012188
92,Bulawayo,-20.15,28.5833,298.91,37,78,2.2,ZW,1635012024
93,Shihezi,44.3,86.0333,279.19,64,96,0.4,CN,1635012188
94,Ostrovnoy,68.0531,39.5131,271.32,83,100,7.18,RU,1635012189
95,Bousso,10.4795,16.7117,302.74,39,19,1.99,TD,1635012189
96,Tura,25.5198,90.2201,292.24,87,0,1.32,IN,1635012190
97,Katsuura,35.1333,140.3,286.21,59,34,4.26,JP,1635012190
98,Fairbanks,64.8378,-147.7164,273.83,88,74,1.42,US,1635011948
99,Sioux Lookout,50.1001,-91.917,277.36,75,75,4.12,CA,1635012190
100,Severo-Kuril'sk,50.6789,156.125,277.16,80,73,4.33,RU,1635012191
101,Benguela,-12.5763,13.4055,296.93,74,64,2.42,AO,1635012191
102,Labuan,5.2767,115.2417,299.24,79,100,6.34,MY,1635012191
103,Strezhevoy,60.7333,77.5889,280.14,88,100,6.66,RU,1635012191
104,Arraial do Cabo,-22.9661,-42.0278,295.24,86,1,11.12,BR,1635012192
105,Esperance,-33.8667,121.9,284.82,68,10,7.88,AU,1635012111
106,Lagoa,39.05,-27.9833,292.37,71,1,6.06,PT,1635012192
107,Canandaigua,42.8742,-77.288,282.73,82,100,1.79,US,1635012028
108,Masakin,35.7292,10.5808,295.85,94,40,7.72,TN,1635012193
109,Priyutnoye,46.1011,43.5072,287.59,47,54,2.56,RU,1635012193
110,Ankara,39.9199,32.8543,284.66,38,0,0.89,TR,1635012193
111,Pachino,36.7186,15.0907,297.17,90,100,6.6,IT,1635012194
112,Torbay,47.6666,-52.7314,290.86,92,75,8.23,CA,1635012015
113,Mossamedes,-15.1961,12.1522,292.95,66,43,6.47,AO,1635012194
114,Cabo San Lucas,22.8909,-109.9124,304.6,64,3,2.84,MX,1635012002
115,Carnarvon,-24.8667,113.6333,294.81,74,0,7.5,AU,1635012195
116,Kutum,14.2,24.6667,300.75,19,18,7.07,SD,1635012195
117,Berlevåg,70.8578,29.0864,274.72,67,100,7.59,NO,1635012195
118,Bambous Virieux,-20.3428,57.7575,297.16,80,12,4.95,MU,1635012187
119,Soc Trang,9.6033,105.98,297.13,87,86,1.63,VN,1635012196
120,Souillac,-20.5167,57.5167,297.24,79,2,4.65,MU,1635012196
121,Ancud,-41.8697,-73.8203,283.65,57,20,4.84,CL,1635012105
122,Harbour Breton,47.4833,-55.7983,289.82,99,100,2.98,CA,1635012197
123,Mumford,5.2618,-0.759,299.23,83,90,4.53,GH,1635012197
124,Ndélé,8.4109,20.6473,293.82,91,88,0.92,CF,1635012197
125,Biankouma,7.7391,-7.6138,295.87,91,99,0.81,CI,1635012198
126,Korla,41.7597,86.1469,285.37,38,100,1.93,CN,1635012198
127,Luanda,-8.8368,13.2343,298.15,78,20,4.63,AO,1635012088
128,Cerna,45.0833,28.3167,285.92,72,97,1.92,RO,1635012199
129,Lebu,-37.6167,-73.65,286.12,65,70,4.14,CL,1635012067
130,Yangi Marg`ilon,40.4272,71.7189,279.83,56,1,4.12,UZ,1635012199
131,Newport,51.5877,-2.9984,286.17,71,100,7.67,GB,1635011999
132,Bukama,-9.2,25.85,296.01,78,62,5.32,CD,1635012199
133,Vanimo,-2.6741,141.3028,298.21,87,76,2.3,PG,1635012200
134,Gusau,12.1628,6.6614,299.17,65,100,0.93,NG,1635012200
135,Koumac,-20.5667,164.2833,294.71,87,7,4.13,NC,1635012200
136,Port Macquarie,-31.4333,152.9167,290.31,95,52,2.7,AU,1635012201
137,Airai,-8.9266,125.4092,289.53,86,55,0.88,TL,1635012184
138,Caranavi,-15.8167,-67.55,305.93,34,14,2.65,BO,1635012201
139,Srednekolymsk,67.45,153.6833,247.65,98,58,1.95,RU,1635012201
140,Dingcheng,32.1272,115.0394,285.87,67,96,2.37,CN,1635012202
141,Vila Franca do Campo,37.7167,-25.4333,294.38,74,46,2.89,PT,1635012202
142,Los Llanos de Aridane,28.6585,-17.9182,292.66,75,75,3.58,ES,1635012202
143,Bethel,41.3712,-73.414,288.19,61,86,2.56,US,1635011940
144,Jamestown,42.097,-79.2353,283.2,86,90,2.06,US,1635012203
145,Tuktoyaktuk,69.4541,-133.0374,271.15,93,90,5.14,CA,1635011944
